,ts,th_limit,budget,delta,rpq_occ,p,i,d,sp
31031,12.48242,64,-1,0,0,8,16,0,1
31032,12.482669999999999,64,-1,0,0,8,16,0,1
31033,12.48292,64,-1,0,0,8,16,0,1
31034,12.48317,64,-1,0,0,8,16,0,1
31035,12.483460000000001,64,-1,0,0,8,16,0,1
31036,12.48371,64,-1,0,0,8,16,0,1
31037,12.48395,64,-1,0,0,8,16,0,1
31038,12.4842,64,-1,0,0,8,16,0,1
31039,12.48445,64,-1,0,0,8,16,0,1
31040,12.4847,64,-1,0,0,8,16,0,1
31041,12.48494,64,-1,0,0,8,16,0,1
31042,12.48519,64,-1,0,0,8,16,0,1
31043,12.485439999999999,64,-1,0,0,8,16,0,1
31044,12.48569,64,-1,0,0,8,16,0,1
31045,12.48594,64,-1,0,0,8,16,0,1
31046,12.48621,64,-1,0,0,8,16,0,1
31047,12.486460000000001,64,-1,0,0,8,16,0,1
31048,12.4867,64,-1,0,0,8,16,0,1
31049,12.486939999999999,64,-1,0,0,8,16,0,1
31050,12.48719,64,-1,0,0,8,16,0,1
31051,12.48748,64,-1,0,0,8,16,0,1
31052,12.487739999999999,64,-1,0,0,8,16,0,1
31053,12.48799,64,-1,0,0,8,16,0,1
31054,12.48824,64,-1,0,0,8,16,0,1
31055,12.488489999999999,64,-1,0,0,8,16,0,1
31056,12.48875,64,-1,0,0,8,16,0,1
31057,12.489,64,-1,0,0,8,16,0,1
31058,12.489239999999999,64,-1,0,0,8,16,0,1
31059,12.48949,64,-1,0,0,8,16,0,1
31060,12.48973,64,-1,0,0,8,16,0,1
31061,12.49001,64,-1,0,0,8,16,0,1
31062,12.490260000000001,64,-1,0,0,8,16,0,1
31063,12.49051,64,-1,0,0,8,16,0,1
31064,12.49076,64,-1,0,0,8,16,0,1
31065,12.491010000000001,64,-1,0,0,8,16,0,1
31066,12.49127,64,-1,0,0,8,16,0,1
31067,12.49152,64,-1,0,0,8,16,0,1
31068,12.491769999999999,64,-1,0,0,8,16,0,1
31069,12.49202,64,-1,0,0,8,16,0,1
31070,12.49226,64,-1,0,0,8,16,0,1
31071,12.492519999999999,64,-1,0,0,8,16,0,1
31072,12.49277,64,-1,0,0,8,16,0,1
31073,12.49301,64,-1,0,0,8,16,0,1
31074,12.49325,64,-1,0,0,8,16,0,1
31075,12.4935,64,-1,0,0,8,16,0,1
31076,12.49376,64,-1,0,0,8,16,0,1
31077,12.494010000000001,64,-1,0,0,8,16,0,1
31078,12.49426,64,-1,0,0,8,16,0,1
31079,12.49451,64,-1,0,0,8,16,0,1
31080,12.494760000000001,64,-1,0,0,8,16,0,1
31081,12.49501,64,-1,0,0,8,16,0,1
31082,12.49526,64,-1,0,0,8,16,0,1
31083,12.49553,64,-1,0,0,8,16,0,1
31084,12.49579,64,-1,0,0,8,16,0,1
31085,12.496039999999999,64,-1,0,0,8,16,0,1
31086,12.49628,64,-1,0,0,8,16,0,1
31087,12.49653,64,-1,0,0,8,16,0,1
31088,12.49677,64,-1,0,0,8,16,0,1
31089,12.49702,64,-1,0,0,8,16,0,1
31090,12.49727,63,-1,0,0,8,16,0,1
31091,12.49751,63,-1,0,0,8,16,0,1
31092,12.497760000000001,63,-1,0,0,8,16,0,1
31093,12.498,63,-1,0,0,8,16,0,1
31094,12.49825,63,-1,0,0,8,16,0,1
31095,12.4985,63,-1,0,0,8,16,0,1
31096,12.49877,63,-1,0,0,8,16,0,1
31097,12.49902,63,-1,0,0,8,16,0,1
31098,12.49927,63,-1,0,0,8,16,0,1
31099,12.49952,63,-1,0,0,8,16,0,1
31100,12.49977,63,-1,0,0,8,16,0,1
31101,12.50002,63,-1,0,0,8,16,0,1
31102,12.50026,63,-1,0,0,8,16,0,1
31103,12.50051,63,-1,0,0,8,16,0,1
31104,12.50075,63,-1,0,0,8,16,0,1
31105,12.501,63,-1,0,0,8,16,0,1
31106,12.50127,63,-1,0,0,8,16,0,1
31107,12.50152,63,-1,0,0,8,16,0,1
31108,12.50176,63,-1,0,0,8,16,0,1
31109,12.50201,63,-1,0,0,8,16,0,1
31110,12.50226,63,-1,0,0,8,16,0,1
31111,12.50253,63,-1,0,0,8,16,0,1
31112,12.50277,63,-1,0,0,8,16,0,1
31113,12.50303,63,-1,0,0,8,16,0,1
31114,12.50327,63,-1,0,0,8,16,0,1
31115,12.50356,63,-1,0,0,8,16,0,1
31116,12.503860000000001,63,-1,0,0,8,16,0,1
31117,12.50411,63,-1,0,0,8,16,0,1
31118,12.50436,63,-1,0,0,8,16,0,1
31119,12.504610000000001,63,-1,0,0,8,16,0,1
31120,12.50485,63,-1,0,0,8,16,0,1
31121,12.50511,63,-1,0,0,8,16,0,1
31122,12.50535,63,-1,0,0,8,16,0,1
31123,12.5056,63,-1,0,0,8,16,0,1
31124,12.50586,63,-1,0,0,8,16,0,1
31125,12.5061,63,-1,0,0,8,16,0,1
31126,12.50636,63,-1,0,0,8,16,0,1
31127,12.50661,63,-1,0,0,8,16,0,1
31128,12.506860000000001,63,-1,0,0,8,16,0,1
31129,12.50711,63,-1,0,0,8,16,0,1
31130,12.50735,63,-1,0,0,8,16,0,1
31131,12.507610000000001,63,-1,0,0,8,16,0,1
31132,12.50786,63,-1,0,0,8,16,0,1
31133,12.5081,63,-1,0,0,8,16,0,1
31134,12.50835,63,-1,0,0,8,16,0,1
31135,12.5086,63,-1,0,0,8,16,0,1
31136,12.50889,63,-1,0,0,8,16,0,1
31137,12.509139999999999,63,-1,0,0,8,16,0,1
31138,12.50939,63,-1,0,0,8,16,0,1
31139,12.50963,63,-1,0,0,8,16,0,1
31140,12.50988,63,-1,0,0,8,16,0,1
31141,12.51014,63,-1,0,0,8,16,0,1
31142,12.51039,63,-1,0,0,8,16,0,1
31143,12.51063,63,-1,0,0,8,16,0,1
